0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:56 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:56 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:56 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:56 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:57 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/Auto_tickets.jsp HTTP/1.1" 200 11699
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:57 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:57 +0800] "GET /dzsw/Validate.ashx HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:57 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:26:57 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/tu02.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:21 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/login.jsp HTTP/1.1" 200 5380
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:21 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:21 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/Validate.ashx HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:21 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:21 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:21 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/personal_centre.jsp HTTP/1.1" 200 4668
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:29:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
